1000001|1|3|2|0|1|3|4|4|2|2|4
1000002|1|4|4|4|1|2|4|3|1|1|2
1000003|1|1|1|0|2|1|3|0|3|3|0
1000004|1|0|1|1|1|4|3|4|4|2|2
1000005|1|1|0|2|2|2|2|3|3|0|2
1000006|1|0|0|4|3|5|5|1|0|5|4
1001001|1|2|3|4|6|4|0|2|5|1|1
1001002|1|4|3|1|3|0|6|0|6|1|3
1001003|1|2|3|1|5|1|5|6|0|1|0
1001004|1|3|0|1|4|6|4|6|4|6|6
1001005|1|3|2|1|3|3|4|6|5|3|4
1001006|1|4|2|2|2|3|3|0|4|0|1
1002001|1|4|0|2|0|2|3|5|3|0|1
1002002|1|2|4|3|4|6|5|3|2|2|2
1002003|1|3|0|4|0|3|1|6|1|4|6
1002004|1|4|1|1|3|6|2|6|1|5|1
1002005|1|2|3|3|4|0|3|3|3|6|6
1002006|1|0|4|0|5|3|5|3|4|1|0
1003001|1|2|1|1|4|1|2|1|6|5|6
1003002|1|0|0|4|2|1|4|2|6|6|0
1003003|1|1|3|3|2|0|2|4|4|0|2
1003004|1|1|1|2|2|2|0|1|3|1|3
1003005|1|0|0|1|2|3|1|3|2|3|4
1003006|1|3|4|3|0|0|3|1|4|1|2
1004001|1|1|4|1|3|3|4|1|1|0|0
1004002|1|4|0|0|0|0|4|3|4|3|3
1004003|1|1|2|4|2|3|0|2|2|4|4
1004004|1|1|3|4|4|4|1|3|1|4|0
1004005|1|4|1|2|2|3|4|4|3|4|1
1004006|1|0|0|0|3|3|1|0|0|1|4
1005001|1|4|1|4|3|2|2|4|4|3|0
1005002|1|0|4|2|0|3|1|0|4|4|1
1005003|1|3|4|1|0|0|2|2|4|1|2
1005004|1|4|1|4|1|2|9|6|0|7|7
1005005|1|4|3|0|0|1|8|0|0|3|2
1005006|1|2|0|0|3|0|9|6|8|9|8
1006001|1|0|0|4|2|4|3|0|8|1|6
1006002|1|0|2|2|4|0|3|9|1|4|2
1006003|1|4|1|4|2|0|3|5|7|4|3
1006004|1|1|2|3|4|4|8|7|8|0|2
1006005|1|2|0|1|1|4|1|9|4|6|9
1006006|1|3|0|2|3|2|3|7|6|3|5
1007001|1|0|0|1|1|1|2|5|9|7|9
1007002|1|3|3|4|3|1|5|7|8|9|4
1007003|1|0|0|3|2|2|8|5|4|3|3
1007004|1|0|0|1|3|2|0|2|3|5|1
1007005|1|3|0|2|3|2|1|3|5|4|7
1007006|1|4|1|0|2|4|6|0|1|3|4
1008001|1|3|4|2|4|4|1|4|7|1|8
1008002|1|4|0|4|1|1|4|2|6|0|7
1008003|1|4|0|4|3|1|5|9|9|1|9
1008004|1|4|3|0|4|2|7|5|7|2|5
1008005|1|0|4|2|1|1|8|9|1|5|6
1008006|1|1|4|3|1|2|0|0|3|3|7
1009001|1|0|2|2|2|1|1|3|4|5|9
1009002|1|2|3|3|2|3|2|9|4|9|4
1009003|1|4|0|4|1|0|6|4|0|2|1
1009004|1|2|3|1|4|2|7|2|3|5|5
1009005|1|4|4|2|3|3|1|8|5|3|7
1009006|1|0|0|4|1|2|6|5|1|9|0
1010001|1|0|0|1|4|2|6|7|1|9|4
1010002|1|2|2|0|2|0|7|1|1|2|9
1010003|1|2|1|0|2|4|8|9|9|9|2
1010004|1|4|4|1|4|0|0|3|7|0|7
1010005|1|2|4|1|4|0|5|3|3|4|8
1010006|1|3|3|2|4|2|3|3|1|4|3
1011001|1|0|1|0|0|4|3|0|2|0|4
1011002|1|4|2|2|2|4|1|1|2|4|3
1011003|1|3|0|3|0|3|2|2|4|3|2
1011004|1|2|1|4|2|3|0|2|4|3|4
1011005|1|2|3|3|1|4|3|4|2|4|4
1011006|1|3|0|3|1|2|4|3|3|2|3
1012001|1|1|2|4|3|1|0|4|0|2|3
1012002|1|4|6|4|1|2|3|5|6|6|4
1012003|1|2|0|0|1|1|2|1|3|6|4
1012004|1|1|0|6|2|5|5|2|6|5|3
1012005|1|0|5|1|2|2|3|4|4|5|1
1012006|1|1|3|2|3|2|3|3|6|1|0
1013001|1|0|5|0|4|4|4|0|5|3|0
1013002|1|2|6|3|1|3|2|5|6|3|6
1013003|1|4|3|1|2|6|0|5|3|4|2
1013004|1|0|2|6|5|4|9|2|4|1|2
1013005|1|1|3|3|1|3|2|3|6|2|2
1013006|1|2|4|5|3|4|2|4|1|2|3
1014001|1|1|2|0|0|5|3|0|1|0|1
1014002|1|4|6|2|1|1|0|2|6|4|3
1014003|1|1|3|3|4|3|2|2|4|0|4
1014004|1|4|5|0|3|2|0|6|0|4|2
1014005|1|3|3|4|5|2|0|4|6|3|6
1014006|1|3|6|2|5|3|2|2|1|6|2
1015001|1|1|0|6|0|3|6|2|1|0|5
1015002|1|4|2|3|6|5|3|4|0|1|3
1015003|1|4|3|0|2|2|2|3|5|5|4
1015004|1|2|3|5|0|0|1|2|5|2|1
1015005|1|0|3|4|4|6|2|4|6|6|2
1015006|1|2|5|4|6|0|4|2|0|3|4
1016001|1|3|3|2|6|5|5|1|0|2|2
1016002|1|2|1|2|0|1|0|2|1|1|1
1016003|1|4|0|4|4|0|1|2|2|3|3
1016004|1|1|0|0|4|2|0|0|2|3|0
1016005|1|2|1|0|2|1|3|0|3|2|3
1016006|1|3|0|4|2|0|4|1|1|2|2
1017001|1|0|4|1|3|0|0|4|0|3|3
1017002|1|0|2|2|4|4|1|3|2|0|1
1017003|1|2|3|3|1|0|1|4|3|3|0
1017004|1|4|0|3|0|3|1|4|2|7|4
1017005|1|1|1|2|2|2|1|1|2|7|9
1017006|1|1|1|4|3|0|4|1|2|8|3
1018001|1|2|1|2|3|0|0|3|0|2|2
1018002|1|1|0|2|2|0|3|1|0|11|7
1018003|1|0|1|1|2|3|0|0|4|8|1
1018004|1|2|0|2|3|1|3|1|3|1|11
1018005|1|4|4|2|4|2|1|3|4|10|5
1018006|1|3|3|2|2|2|4|1|3|10|1
1019001|1|0|4|0|2|0|0|0|3|6|10
1019002|1|2|3|3|0|2|2|3|0|3|3
1019003|1|4|2|4|3|4|0|0|3|11|9
1019004|1|3|2|1|1|1|4|1|0|5|11
1019005|1|1|4|4|0|3|0|3|2|4|0
1019006|1|3|2|1|2|1|2|2|0|4|8
1020001|1|3|0|0|0|0|3|3|2|0|9
1020002|1|3|1|1|2|4|4|1|3|3|7
1020003|1|3|1|1|3|4|4|2|1|1|1
1020004|1|1|3|1|3|3|4|1|2|10|5
1020005|1|0|4|2|3|2|2|3|4|11|11
1020006|1|0|2|1|1|2|0|3|4|10|2
1021001|1|2|4|1|1|4|4|2|2|7|8
1021002|1|3|0|1|2|4|4|3|0|1|6
1021003|1|3|4|2|3|3|2|3|0|6|0
1021004|1|2|2|1|0|1|1|0|3|3|4
1021005|1|4|0|1|0|1|4|4|1|8|10
1021006|1|2|2|1|3|0|0|2|1|11|1
1022001|1|4|0|4|0|3|3|3|4|1|11
1022002|1|1|3|2|1|0|4|2|3|5|8
1022003|1|3|2|2|2|1|3|2|3|3|0
1022004|1|4|3|2|4|4|3|4|1|11|0
1022005|1|0|2|0|2|2|1|3|3|8|9
1022006|1|1|4|0|3|0|2|2|3|8|1
1023001|1|2|0|3|1|0|3|2|0|1|6
1023002|1|1|4|1|2|2|2|0|3|0|9
1023003|1|2|4|0|1|2|2|2|0|2|10
1023004|1|2|3|1|2|2|0|1|2|6|0
1023005|1|4|3|0|0|4|2|0|4|1|1
1023006|1|2|1|4|3|0|2|2|4|8|6
1024001|1|0|4|1|2|3|3|3|3|7|2
1024002|1|3|2|0|0|3|2|4|0|7|5
1024003|1|3|0|1|3|0|2|0|1|10|8
1024004|1|3|4|0|4|3|1|2|1|1|0
1024005|1|4|2|2|2|4|3|4|2|8|1
1024006|1|1|0|0|2|0|2|1|0|2|0
1025001|1|2|1|2|0|2|2|0|2|6|10
1025002|1|3|1|2|4|2|3|4|4|1|4
1025003|1|4|4|1|2|1|2|4|0|8|2
1025004|1|1|1|0|4|3|0|3|1|5|3
1025005|1|1|1|2|1|1|3|4|3|10|7
1025006|1|0|3|0|0|0|1|4|0|0|11
1026001|1|2|3|1|2|4|2|0|0|3|11
1026002|1|4|3|1|2|0|3|1|2|7|0
1026003|1|2|1|2|1|4|4|4|4|10|2
1026004|1|4|3|3|4|3|1|1|4|2|8
1026005|1|4|1|1|3|4|2|4|4|8|9
1026006|1|0|3|3|3|2|1|2|4|6|11
1027001|1|4|0|2|0|4|3|0|3|11|2
1027002|1|2|3|2|0|2|4|2|0|9|6
1027003|1|3|1|4|1|1|1|4|1|9|5
1027004|1|0|4|3|1|4|1|1|4|10|2
1027005|1|0|1|4|2|3|1|4|4|2|3
1027006|1|4|3|3|2|0|4|4|1|4|6
1028001|1|4|2|2|1|4|4|3|3|6|2
1028002|1|1|2|0|3|1|0|1|4|8|0
1028003|1|4|0|1|4|3|2|2|0|6|8
1028004|1|2|1|3|0|1|0|3|2|7|1
1028005|1|1|0|0|4|2|4|0|4|0|7
1028006|1|4|1|1|2|1|1|3|2|5|4
1029001|1|2|4|2|3|3|1|3|2|2|3
1029002|1|0|4|1|3|3|0|3|2|5|1
